Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Wifi & Connectivity,Aircraft
Solo Leisure,Business Class,London to San Francisco,September 2022,3.0,1.0,1.0,4.0,2.0,2,no,,
Solo Leisure,Economy Class,London to Dallas,April 2023,1.0,1.0,3.0,3.0,1.0,1,no,1.0,
Business,Economy Class,London to Madrid,May 2023,4.0,3.0,1.0,,1.0,1,no,,
Solo Leisure,Economy Class,London to Belfast,May 2023,1.0,3.0,3.0,1.0,1.0,1,no,1.0,
Couple Leisure,Business Class,Los Angeles to London,May 2023,5.0,5.0,4.0,5.0,1.0,1,no,2.0,
Couple Leisure,Business Class,Atlanta to London,April 2023,4.0,3.0,1.0,2.0,1.0,1,no,1.0,
Couple Leisure,Business Class,,May 2023,,,,,,1,no,,
Solo Leisure,Business Class,Sydney to London via Singapore,May 2023,1.0,1.0,1.0,1.0,1.0,1,no,1.0,Boeing 787-9
Solo Leisure,Business Class,Heathrow to Faro,May 2023,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Business,Economy Class,London to Barcelona,May 2023,,,,,1.0,1,no,,
Business,Economy Class,New York to London,April 2023,4.0,3.0,3.0,3.0,1.0,1,no,4.0,
Couple Leisure,Business Class,Singapore to London,April 2023,4.0,2.0,1.0,5.0,3.0,1,no,1.0,Boeing 787
Couple Leisure,Economy Class,Sweden to Los Angeles via London,January 2023,3.0,3.0,3.0,2.0,3.0,1,no,,
Couple Leisure,Premium Economy,Seattle to Zagreb via London,April 2023,3.0,2.0,1.0,1.0,3.0,2,no,1.0,Boeing 777
Family Leisure,Premium Economy,"Bangalore to Toronto via London, ",April 2023,2.0,1.0,2.0,3.0,1.0,1,no,,Boeing 777
Family Leisure,Economy Class,London to Denver,February 2023,2.0,1.0,1.0,3.0,1.0,2,no,1.0,Dreamliner
Solo Leisure,Premium Economy,London to Hong Kong,April 2023,4.0,5.0,4.0,3.0,4.0,4,yes,,A350
Couple Leisure,Economy Class,Brussels to Los Angeles via London Heathrow,April 2023,1.0,4.0,1.0,3.0,1.0,1,no,1.0,
Couple Leisure,Economy Class,Copenhagen to London,April 2023,1.0,4.0,2.0,,2.0,2,no,,
Family Leisure,Economy Class,London to Denver,March 2023,2.0,5.0,2.0,3.0,4.0,1,no,1.0,
Solo Leisure,Economy Class,Hong Kong to London,April 2023,2.0,1.0,1.0,1.0,2.0,2,no,1.0,
Business,Business Class,Heathrow to Malaga,April 2023,3.0,3.0,4.0,,3.0,2,no,1.0,A320
Family Leisure,Economy Class,Santorini to Gatwick,March 2023,4.0,4.0,,1.0,3.0,1,no,3.0,
Solo Leisure,Economy Class,Madrid to Belfast via London,January 2023,3.0,3.0,2.0,,1.0,1,no,,
Business,Economy Class,Dublin to London,April 2023,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Couple Leisure,Business Class,London to Venice,March 2023,1.0,2.0,2.0,1.0,2.0,2,no,,
Couple Leisure,Economy Class,Las Vegas to London,April 2023,1.0,1.0,1.0,4.0,4.0,1,no,1.0,A350
Solo Leisure,Business Class,Faro to Heathrow,April 2023,5.0,5.0,5.0,,3.0,5,yes,,A320
Couple Leisure,Business Class,London to Atlanta,April 2023,4.0,3.0,2.0,3.0,2.0,3,no,3.0,Boeing 777
Couple Leisure,Economy Class,London to Copenhagen,April 2023,1.0,4.0,1.0,,1.0,1,no,,
Couple Leisure,Economy Class,London to Malta,April 2023,3.0,1.0,2.0,,1.0,1,no,,
Couple Leisure,Economy Class,Belfast to London,April 2023,4.0,4.0,3.0,,4.0,4,yes,,A319
Business,Premium Economy,London to Hong Kong,April 2023,2.0,2.0,3.0,3.0,4.0,3,no,5.0,Boeing 787
Family Leisure,Economy Class,Mumbai to Chicago via London,April 2023,4.0,1.0,5.0,5.0,1.0,1,no,1.0,
Business,Business Class,London to New York,April 2023,3.0,2.0,2.0,2.0,3.0,2,no,1.0,Boeing 777
Solo Leisure,Economy Class,Mumbai to London,March 2023,4.0,5.0,3.0,5.0,4.0,5,yes,5.0,Boeing 777-200
Couple Leisure,Business Class,Mexico City to Amsterdam via London,March 2023,4.0,5.0,5.0,,4.0,5,yes,,Boeing 787 / A320
Business,Economy Class,Barcelona to London,March 2023,3.0,3.0,3.0,1.0,3.0,1,no,1.0,
Couple Leisure,Economy Class,London to Lanzarote,March 2023,3.0,2.0,,1.0,2.0,3,no,,A321
Couple Leisure,Economy Class,Marrakech to London Heathrow,March 2023,1.0,1.0,1.0,,1.0,1,no,,
Couple Leisure,Economy Class,London Heathrow to Marrakech,March 2023,1.0,3.0,1.0,,1.0,1,no,,
Family Leisure,Economy Class,London to Algiers,May 2022,1.0,1.0,,,1.0,2,no,,
Couple Leisure,Economy Class,Miami to Munich via London,March 2023,3.0,1.0,3.0,4.0,1.0,1,yes,2.0,
Business,Economy Class,New York to London,March 2023,1.0,1.0,1.0,2.0,2.0,2,no,,
Couple Leisure,Economy Class,Cairo to London,March 2023,1.0,4.0,1.0,1.0,4.0,2,no,1.0,A321Neo
Solo Leisure,Premium Economy,Mumbai to Nassau via London,March 2023,4.0,4.0,2.0,3.0,3.0,3,yes,1.0,Boeing 777
Couple Leisure,First Class,Johannesburg to London,March 2023,4.0,5.0,4.0,4.0,1.0,2,no,4.0,A380
Solo Leisure,Economy Class,Munich to London Heathrow,March 2023,3.0,3.0,,,1.0,1,no,,
Couple Leisure,Economy Class,Amsterdam to London,March 2023,1.0,,,,1.0,1,no,,
Couple Leisure,Economy Class,Heathrow to Belfast City,March 2023,3.0,3.0,3.0,,1.0,1,no,,
Couple Leisure,Economy Class,Gatwick to Dubrovnik,March 2023,1.0,3.0,2.0,,5.0,5,yes,,A320
Business,Economy Class,London Heathrow to Amsterdam,March 2023,2.0,1.0,1.0,,1.0,1,no,,
Solo Leisure,Economy Class,Zagreb to London Heathrow,March 2023,3.0,2.0,1.0,1.0,1.0,2,no,1.0,
Couple Leisure,Premium Economy,New York JFK to Heathrow,March 2023,1.0,2.0,2.0,2.0,3.0,1,no,,
Solo Leisure,Economy Class,Dublin to Orlando via Heathrow,December 2022,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Family Leisure,Economy Class,London Heathrow to Munich,March 2023,1.0,1.0,1.0,,1.0,1,no,,
Business,Business Class,London to Dubai,December 2022,4.0,4.0,4.0,4.0,1.0,1,no,4.0,
Solo Leisure,Economy Class,Geneva to London,March 2023,2.0,3.0,3.0,,1.0,2,no,,A320
Family Leisure,Economy Class,Prague to London,December 2022,1.0,,,,1.0,1,no,,
Business,Economy Class,Heathrow to Glasgow,March 2023,1.0,1.0,1.0,1.0,1.0,1,no,1.0,
Business,Economy Class,London Heathrow to Arlanda Stockholm,March 2023,5.0,5.0,2.0,,5.0,5,yes,,A321
Couple Leisure,Business Class,Portland to Tel Aviv via Heathrow,March 2023,,,,,,1,no,,
Solo Leisure,Business Class,Heathrow to Milan Malpensa,April 2022,,,,,1.0,1,no,,
Solo Leisure,Economy Class,London to Los Angeles,March 2023,1.0,2.0,1.0,1.0,3.0,1,no,1.0,
Solo Leisure,Economy Class,New York to Istanbul via London,March 2023,5.0,5.0,5.0,5.0,5.0,5,yes,,Boeing 777 / A320
Couple Leisure,Premium Economy,London Heathrow to Las Vegas,March 2023,3.0,2.0,1.0,4.0,2.0,3,no,,
Business,Business Class,London to Cairo,January 2023,1.0,2.0,1.0,1.0,3.0,1,no,,A321neo
Solo Leisure,Economy Class,London Singapore ,February 2023,3.0,5.0,5.0,4.0,5.0,4,yes,,Boeing 787
Business,Business Class,London to Dubai,February 2023,2.0,3.0,2.0,3.0,4.0,3,yes,,A380
Business,Business Class,Brussels to London,February 2023,2.0,4.0,4.0,,4.0,4,yes,,A320
Family Leisure,Economy Class,Lyon to London,February 2023,1.0,4.0,1.0,,1.0,1,no,,
Family Leisure,Economy Class,London to Lyon,February 2023,1.0,4.0,1.0,1.0,1.0,1,no,1.0,
Couple Leisure,Economy Class,Faro to Gatwick ,February 2023,2.0,2.0,1.0,,5.0,2,no,,A320
Family Leisure,Economy Class,Oslo to London,February 2023,3.0,3.0,1.0,,2.0,3,no,,A320
Solo Leisure,Economy Class,London to Madrid,February 2023,2.0,1.0,1.0,,1.0,2,no,,A320
Couple Leisure,Economy Class,Islamabad to London,February 2023,4.0,5.0,2.0,3.0,4.0,5,yes,,
Couple Leisure,Economy Class,Edinburgh to London,February 2023,3.0,2.0,,,1.0,1,no,,
Couple Leisure,Business Class,Mexico City to London,February 2023,5.0,5.0,4.0,4.0,5.0,5,yes,,Boeing 787-9
Solo Leisure,Economy Class,Palma to Gatwick,January 2023,5.0,5.0,5.0,,5.0,5,yes,,A320
Family Leisure,Economy Class,London to Madrid,February 2023,5.0,5.0,5.0,,5.0,5,yes,,
Business,Economy Class,London Heathrow to Glasgow,January 2023,5.0,5.0,4.0,,5.0,5,yes,5.0,A320
Couple Leisure,Premium Economy,London to Buenos Aires,January 2023,3.0,1.0,1.0,,4.0,1,no,,
Solo Leisure,Premium Economy,London to Vancouver,January 2023,4.0,4.0,1.0,1.0,4.0,1,no,,Boeing 777-300
